GeneSet,Description,Gene
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,AIFM1
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,CHCHD4
MIA40,Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.MIA40,GFER
Cholesterol-associated,Metabolism.Lipid_metabolism.Cholesterol-associated,FDPS
Cholesterol-associated,Metabolism.Lipid_metabolism.Cholesterol-associated,IDI1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,ENDOG
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTK
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD3
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,FASTKD5
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,GRSF1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,LACTB2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,LRPPRC
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,MTPAP
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,PDE12
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,PNPT1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,REXO2
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,RNASEH1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,SLIRP
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,SUPV3L1
mtRNA_stability_and_decay,Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_stability_and_decay,TBRG4
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,ACAD9
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,AIFM1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,COA1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,DMAC1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,DMAC2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,ECSIT
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,FOXRED1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,LYRM2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF2
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF3
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF4
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF5
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF6
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF7
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NDUFAF8
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,NUBPL
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TIMMDC1
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM126A
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM126B
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM186
CI_assembly_factors,OXPHOS.Complex_I.CI_assembly_factors,TMEM70
Glycerol_phosphate_shuttle,Metabolism.Carbohydrate_metabolism.Glycerol_phosphate_shuttle,GPD2
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,FLAD1
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,RFK
Vitamin_B2_metabolism,Metabolism.Vitamin_metabolism.Vitamin_B2_metabolism,SLC25A32
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,CHCHD7
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX11
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX17
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,COX19
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SCO1
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SCO2
Copper_metabolism,Metabolism.Metals_and_cofactors.Copper_metabolism,SLC25A3
Metabolism,Metabolism,AADAT
Metabolism,Metabolism,AASS
Metabolism,Metabolism,ABAT
Metabolism,Metabolism,ABCB10
Metabolism,Metabolism,ABCB6
Metabolism,Metabolism,ABCB7
Metabolism,Metabolism,ABHD10
Metabolism,Metabolism,ABHD11
Metabolism,Metabolism,ACAA1
Metabolism,Metabolism,ACAA2
Metabolism,Metabolism,ACACA
Metabolism,Metabolism,ACACB
Metabolism,Metabolism,ACAD10
Metabolism,Metabolism,ACAD11
Metabolism,Metabolism,ACAD8
Metabolism,Metabolism,ACADL
Metabolism,Metabolism,ACADM
Metabolism,Metabolism,ACADS
Metabolism,Metabolism,ACADSB
Metabolism,Metabolism,ACADVL
Metabolism,Metabolism,ACAT1
Metabolism,Metabolism,ACLY
Metabolism,Metabolism,ACO2
Metabolism,Metabolism,ACOD1
Metabolism,Metabolism,ACOT11
Metabolism,Metabolism,ACOT13
Metabolism,Metabolism,ACOT2
Metabolism,Metabolism,ACOT7
Metabolism,Metabolism,ACOT9
Metabolism,Metabolism,ACP6
Metabolism,Metabolism,ACSF2
Metabolism,Metabolism,ACSF3
Metabolism,Metabolism,ACSL1
Metabolism,Metabolism,ACSL6
Metabolism,Metabolism,ACSM1
Metabolism,Metabolism,ACSM2A
Metabolism,Metabolism,ACSM2B
Metabolism,Metabolism,ACSM3
Metabolism,Metabolism,ACSM4
Metabolism,Metabolism,ACSM5
Metabolism,Metabolism,ACSS1
Metabolism,Metabolism,ACSS3
Metabolism,Metabolism,ADHFE1
Metabolism,Metabolism,AGK
Metabolism,Metabolism,AGMAT
Metabolism,Metabolism,AGPAT4
Metabolism,Metabolism,AGPAT5
Metabolism,Metabolism,AGXT
Metabolism,Metabolism,AGXT2
Metabolism,Metabolism,AIFM2
Metabolism,Metabolism,AIFM3
Metabolism,Metabolism,AK2
Metabolism,Metabolism,AK3
Metabolism,Metabolism,AK4
Metabolism,Metabolism,AKR1B10
Metabolism,Metabolism,AKR7A2
Metabolism,Metabolism,ALAS1
Metabolism,Metabolism,ALAS2
Metabolism,Metabolism,ALDH18A1
Metabolism,Metabolism,ALDH1B1
Metabolism,Metabolism,ALDH1L1
Metabolism,Metabolism,ALDH1L2
Metabolism,Metabolism,ALDH2
Metabolism,Metabolism,ALDH3A2
Metabolism,Metabolism,ALDH4A1
Metabolism,Metabolism,ALDH5A1
Metabolism,Metabolism,ALDH6A1
Metabolism,Metabolism,ALDH7A1
Metabolism,Metabolism,ALDH9A1
Metabolism,Metabolism,AMACR
Metabolism,Metabolism,AMT
Metabolism,Metabolism,ANTKMT
Metabolism,Metabolism,ARG2
Metabolism,Metabolism,AUH
Metabolism,Metabolism,BCAT2
Metabolism,Metabolism,BCKDHA
Metabolism,Metabolism,BCKDHB
Metabolism,Metabolism,BCKDK
Metabolism,Metabolism,BCO2
Metabolism,Metabolism,BDH1
Metabolism,Metabolism,BOLA1
Metabolism,Metabolism,BOLA3
Metabolism,Metabolism,BPHL
Metabolism,Metabolism,CA5A
Metabolism,Metabolism,CA5B
Metabolism,Metabolism,CAT
Metabolism,Metabolism,CBR3
Metabolism,Metabolism,CBR4
Metabolism,Metabolism,CHCHD7
Metabolism,Metabolism,CHDH
Metabolism,Metabolism,CHPT1
Metabolism,Metabolism,CISD1
Metabolism,Metabolism,CISD3
Metabolism,Metabolism,CKMT1A
Metabolism,Metabolism,CKMT1B
Metabolism,Metabolism,CKMT2
Metabolism,Metabolism,CLYBL
Metabolism,Metabolism,CMPK2
Metabolism,Metabolism,COASY
Metabolism,Metabolism,COMT
Metabolism,Metabolism,COQ10A
Metabolism,Metabolism,COQ10B
Metabolism,Metabolism,COQ2
Metabolism,Metabolism,COQ3
Metabolism,Metabolism,COQ4
Metabolism,Metabolism,COQ5
Metabolism,Metabolism,COQ6
Metabolism,Metabolism,COQ7
Metabolism,Metabolism,COQ8A
Metabolism,Metabolism,COQ8B
Metabolism,Metabolism,COQ9
Metabolism,Metabolism,COX10
Metabolism,Metabolism,COX11
Metabolism,Metabolism,COX15
Metabolism,Metabolism,COX17
Metabolism,Metabolism,COX19
Metabolism,Metabolism,CPOX
Metabolism,Metabolism,CPS1
Metabolism,Metabolism,CPT1A
Metabolism,Metabolism,CPT1B
Metabolism,Metabolism,CPT1C
Metabolism,Metabolism,CPT2
Metabolism,Metabolism,CRAT
Metabolism,Metabolism,CRLS1
Metabolism,Metabolism,CROT
Metabolism,Metabolism,CS
Metabolism,Metabolism,CYB5B
Metabolism,Metabolism,CYB5R3
Metabolism,Metabolism,CYC1
Metabolism,Metabolism,CYCS
Metabolism,Metabolism,CYP11A1
Metabolism,Metabolism,CYP11B1
Metabolism,Metabolism,CYP11B2
Metabolism,Metabolism,CYP24A1
Metabolism,Metabolism,CYP27A1
Metabolism,Metabolism,CYP27B1
Metabolism,Metabolism,D2HGDH
Metabolism,Metabolism,DBI
Metabolism,Metabolism,DBT
Metabolism,Metabolism,DCXR
Metabolism,Metabolism,DECR1
Metabolism,Metabolism,DGLUCY
Metabolism,Metabolism,DGUOK
Metabolism,Metabolism,DHODH
Metabolism,Metabolism,DHRS1
Metabolism,Metabolism,DHRS2
Metabolism,Metabolism,DHRS4
Metabolism,Metabolism,DHTKD1
Metabolism,Metabolism,DLAT
Metabolism,Metabolism,DLD
Metabolism,Metabolism,DLST
Metabolism,Metabolism,DMGDH
Metabolism,Metabolism,DNA2
Metabolism,Metabolism,DTYMK
Metabolism,Metabolism,DUT
Metabolism,Metabolism,ECH1
Metabolism,Metabolism,ECHDC1
Metabolism,Metabolism,ECHS1
Metabolism,Metabolism,ECI1
Metabolism,Metabolism,ECI2
Metabolism,Metabolism,EHHADH
Metabolism,Metabolism,EPHX2
Metabolism,Metabolism,ETFA
Metabolism,Metabolism,ETFB
Metabolism,Metabolism,ETFBKMT
Metabolism,Metabolism,ETFDH
Metabolism,Metabolism,ETFRF1
Metabolism,Metabolism,ETHE1
Metabolism,Metabolism,FABP1
Metabolism,Metabolism,FAHD1
Metabolism,Metabolism,FAM210B
Metabolism,Metabolism,FASN
Metabolism,Metabolism,FDPS
Metabolism,Metabolism,FDX1
Metabolism,Metabolism,FDX2
Metabolism,Metabolism,FDXR
Metabolism,Metabolism,FECH
Metabolism,Metabolism,FH
Metabolism,Metabolism,FHIT
Metabolism,Metabolism,FLAD1
Metabolism,Metabolism,FPGS
Metabolism,Metabolism,FTH1
Metabolism,Metabolism,FTMT
Metabolism,Metabolism,FXN
Metabolism,Metabolism,GATM
Metabolism,Metabolism,GCAT
Metabolism,Metabolism,GCDH
Metabolism,Metabolism,GCSH
Metabolism,Metabolism,GLDC
Metabolism,Metabolism,GLRX2
Metabolism,Metabolism,GLRX5
Metabolism,Metabolism,GLS
Metabolism,Metabolism,GLS2
Metabolism,Metabolism,GLUD1
Metabolism,Metabolism,GLUD2
Metabolism,Metabolism,GLYAT
Metabolism,Metabolism,GLYCTK
Metabolism,Metabolism,GOT2
Metabolism,Metabolism,GPAM
Metabolism,Metabolism,GPAT2
Metabolism,Metabolism,GPD2
Metabolism,Metabolism,GPT2
Metabolism,Metabolism,GPX1
Metabolism,Metabolism,GPX4
Metabolism,Metabolism,GRHPR
Metabolism,Metabolism,GRPEL1
Metabolism,Metabolism,GRPEL2
Metabolism,Metabolism,GSR
Metabolism,Metabolism,GSTK1
Metabolism,Metabolism,GSTZ1
Metabolism,Metabolism,GTPBP3
Metabolism,Metabolism,GUK1
Metabolism,Metabolism,HADH
Metabolism,Metabolism,HADHA
Metabolism,Metabolism,HADHB
Metabolism,Metabolism,HAGH
Metabolism,Metabolism,HAO2
Metabolism,Metabolism,HCCS
Metabolism,Metabolism,HIBADH
Metabolism,Metabolism,HIBCH
Metabolism,Metabolism,HINT1
Metabolism,Metabolism,HINT2
Metabolism,Metabolism,HMGCL
Metabolism,Metabolism,HMGCS2
Metabolism,Metabolism,HOGA1
Metabolism,Metabolism,HSCB
Metabolism,Metabolism,HSD17B10
Metabolism,Metabolism,HSD17B4
Metabolism,Metabolism,HSD17B8
Metabolism,Metabolism,HSPA9
Metabolism,Metabolism,HTD2
Metabolism,Metabolism,IBA57
Metabolism,Metabolism,IDH2
Metabolism,Metabolism,IDH3A
Metabolism,Metabolism,IDH3B
Metabolism,Metabolism,IDH3G
Metabolism,Metabolism,IDI1
Metabolism,Metabolism,ISCA1
Metabolism,Metabolism,ISCA2
Metabolism,Metabolism,ISCU
Metabolism,Metabolism,IVD
Metabolism,Metabolism,KMO
Metabolism,Metabolism,KYAT3
Metabolism,Metabolism,L2HGDH
Metabolism,Metabolism,LACTB
Metabolism,Metabolism,LDHAL6B
Metabolism,Metabolism,LDHB
Metabolism,Metabolism,LDHD
Metabolism,Metabolism,LIAS
Metabolism,Metabolism,LIPT1
Metabolism,Metabolism,LIPT2
Metabolism,Metabolism,LYPLA1
Metabolism,Metabolism,LYPLAL1
Metabolism,Metabolism,LYRM4
Metabolism,Metabolism,MAOA
Metabolism,Metabolism,MAOB
Metabolism,Metabolism,MCAT
Metabolism,Metabolism,MCCC1
Metabolism,Metabolism,MCCC2
Metabolism,Metabolism,MCEE
Metabolism,Metabolism,MDH2
Metabolism,Metabolism,ME2
Metabolism,Metabolism,ME3
Metabolism,Metabolism,MECR
Metabolism,Metabolism,MGST1
Metabolism,Metabolism,MGST3
Metabolism,Metabolism,MLYCD
Metabolism,Metabolism,MMAA
Metabolism,Metabolism,MMAB
Metabolism,Metabolism,MMADHC
Metabolism,Metabolism,MMUT
Metabolism,Metabolism,MOCS1
Metabolism,Metabolism,MPC1
Metabolism,Metabolism,MPC1L
Metabolism,Metabolism,MPC2
Metabolism,Metabolism,MPST
Metabolism,Metabolism,MRPS36
Metabolism,Metabolism,MSRA
Metabolism,Metabolism,MSRB2
Metabolism,Metabolism,MSRB3
Metabolism,Metabolism,MT-CO1
Metabolism,Metabolism,MT-CYB
Metabolism,Metabolism,MTARC1
Metabolism,Metabolism,MTARC2
Metabolism,Metabolism,MTFMT
Metabolism,Metabolism,MTHFD1L
Metabolism,Metabolism,MTHFD2
Metabolism,Metabolism,MTHFD2L
Metabolism,Metabolism,MTHFS
Metabolism,Metabolism,MTO1
Metabolism,Metabolism,NADK2
Metabolism,Metabolism,NAGS
Metabolism,Metabolism,NAT8L
Metabolism,Metabolism,NAXD
Metabolism,Metabolism,NAXE
Metabolism,Metabolism,NDUFAB1
Metabolism,Metabolism,NDUFS1
Metabolism,Metabolism,NDUFS2
Metabolism,Metabolism,NDUFS7
Metabolism,Metabolism,NDUFS8
Metabolism,Metabolism,NDUFV1
Metabolism,Metabolism,NDUFV2
Metabolism,Metabolism,NEU4
Metabolism,Metabolism,NFS1
Metabolism,Metabolism,NFU1
Metabolism,Metabolism,NIT1
Metabolism,Metabolism,NIT2
Metabolism,Metabolism,NME3
Metabolism,Metabolism,NME4
Metabolism,Metabolism,NME6
Metabolism,Metabolism,NMNAT3
Metabolism,Metabolism,NNT
Metabolism,Metabolism,NOCT
Metabolism,Metabolism,NT5DC2
Metabolism,Metabolism,NT5M
Metabolism,Metabolism,NTHL1
Metabolism,Metabolism,NUBPL
Metabolism,Metabolism,NUDT13
Metabolism,Metabolism,NUDT19
Metabolism,Metabolism,NUDT2
Metabolism,Metabolism,NUDT5
Metabolism,Metabolism,NUDT8
Metabolism,Metabolism,NUDT9
Metabolism,Metabolism,OAT
Metabolism,Metabolism,OGDH
Metabolism,Metabolism,OGDHL
Metabolism,Metabolism,OSBPL1A
Metabolism,Metabolism,OTC
Metabolism,Metabolism,OXCT1
Metabolism,Metabolism,OXCT2
Metabolism,Metabolism,OXR1
Metabolism,Metabolism,OXSM
Metabolism,Metabolism,PAICS
Metabolism,Metabolism,PANK2
Metabolism,Metabolism,PC
Metabolism,Metabolism,PCBD2
Metabolism,Metabolism,PCCA
Metabolism,Metabolism,PCCB
Metabolism,Metabolism,PCK2
Metabolism,Metabolism,PDHA1
Metabolism,Metabolism,PDHA2
Metabolism,Metabolism,PDHB
Metabolism,Metabolism,PDHX
Metabolism,Metabolism,PDK1
Metabolism,Metabolism,PDK2
Metabolism,Metabolism,PDK3
Metabolism,Metabolism,PDK4
Metabolism,Metabolism,PDP1
Metabolism,Metabolism,PDP2
Metabolism,Metabolism,PDPR
Metabolism,Metabolism,PDSS1
Metabolism,Metabolism,PDSS2
Metabolism,Metabolism,PGS1
Metabolism,Metabolism,PHYH
Metabolism,Metabolism,PISD
Metabolism,Metabolism,PLD6
Metabolism,Metabolism,PLPBP
Metabolism,Metabolism,PLSCR3
Metabolism,Metabolism,PNPLA8
Metabolism,Metabolism,PNPO
Metabolism,Metabolism,PPA2
Metabolism,Metabolism,PPM1K
Metabolism,Metabolism,PPOX
Metabolism,Metabolism,PRDX2
Metabolism,Metabolism,PRDX3
Metabolism,Metabolism,PRDX4
Metabolism,Metabolism,PRDX5
Metabolism,Metabolism,PRDX6
Metabolism,Metabolism,PRELID1
Metabolism,Metabolism,PRELID3A
Metabolism,Metabolism,PRELID3B
Metabolism,Metabolism,PRODH
Metabolism,Metabolism,PRODH2
Metabolism,Metabolism,PRXL2A
Metabolism,Metabolism,PTGES2
Metabolism,Metabolism,PTPMT1
Metabolism,Metabolism,PYCR1
Metabolism,Metabolism,PYCR2
Metabolism,Metabolism,QDPR
Metabolism,Metabolism,RDH13
Metabolism,Metabolism,RDH14
Metabolism,Metabolism,RFK
Metabolism,Metabolism,RPIA
Metabolism,Metabolism,RSAD1
Metabolism,Metabolism,SARDH
Metabolism,Metabolism,SCO1
Metabolism,Metabolism,SCO2
Metabolism,Metabolism,SCP2
Metabolism,Metabolism,SDHA
Metabolism,Metabolism,SDHB
Metabolism,Metabolism,SDHC
Metabolism,Metabolism,SDHD
Metabolism,Metabolism,SDSL
Metabolism,Metabolism,SELENOO
Metabolism,Metabolism,SERAC1
Metabolism,Metabolism,SFXN1
Metabolism,Metabolism,SFXN3
Metabolism,Metabolism,SFXN5
Metabolism,Metabolism,SHMT2
Metabolism,Metabolism,SIRT3
Metabolism,Metabolism,SIRT4
Metabolism,Metabolism,SIRT5
Metabolism,Metabolism,SLC25A1
Metabolism,Metabolism,SLC25A10
Metabolism,Metabolism,SLC25A11
Metabolism,Metabolism,SLC25A12
Metabolism,Metabolism,SLC25A13
Metabolism,Metabolism,SLC25A14
Metabolism,Metabolism,SLC25A15
Metabolism,Metabolism,SLC25A19
Metabolism,Metabolism,SLC25A20
Metabolism,Metabolism,SLC25A21
Metabolism,Metabolism,SLC25A23
Metabolism,Metabolism,SLC25A24
Metabolism,Metabolism,SLC25A25
Metabolism,Metabolism,SLC25A28
Metabolism,Metabolism,SLC25A29
Metabolism,Metabolism,SLC25A3
Metabolism,Metabolism,SLC25A30
Metabolism,Metabolism,SLC25A31
Metabolism,Metabolism,SLC25A32
Metabolism,Metabolism,SLC25A33
Metabolism,Metabolism,SLC25A36
Metabolism,Metabolism,SLC25A37
Metabolism,Metabolism,SLC25A38
Metabolism,Metabolism,SLC25A4
Metabolism,Metabolism,SLC25A41
Metabolism,Metabolism,SLC25A42
Metabolism,Metabolism,SLC25A44
Metabolism,Metabolism,SLC25A5
Metabolism,Metabolism,SLC25A51
Metabolism,Metabolism,SLC25A52
Metabolism,Metabolism,SLC25A6
Metabolism,Metabolism,SOD1
Metabolism,Metabolism,SOD2
Metabolism,Metabolism,SPHK2
Metabolism,Metabolism,SPR
Metabolism,Metabolism,SPTLC2
Metabolism,Metabolism,SQOR
Metabolism,Metabolism,STAR
Metabolism,Metabolism,STARD7
Metabolism,Metabolism,SUCLA2
Metabolism,Metabolism,SUCLG1
Metabolism,Metabolism,SUCLG2
Metabolism,Metabolism,SUGCT
Metabolism,Metabolism,SUOX
Metabolism,Metabolism,TAMM41
Metabolism,Metabolism,TAZ
Metabolism,Metabolism,THEM4
Metabolism,Metabolism,THEM5
Metabolism,Metabolism,TK2
Metabolism,Metabolism,TMLHE
Metabolism,Metabolism,TRIAP1
Metabolism,Metabolism,TSPO
Metabolism,Metabolism,TST
Metabolism,Metabolism,TSTD1
Metabolism,Metabolism,TXN2
Metabolism,Metabolism,TXNRD1
Metabolism,Metabolism,TXNRD2
Metabolism,Metabolism,UQCRFS1
Metabolism,Metabolism,ZADH2
mtDNA_modifications,Mitochondrial_central_dogma.mtDNA_maintenance.mtDNA_modifications,METTL4
Propanoate_metabolism,Metabolism.Carbohydrate_metabolism.Propanoate_metabolism,MCEE
Propanoate_metabolism,Metabolism.Carbohydrate_metabolism.Propanoate_metabolism,MMUT
Propanoate_metabolism,Metabolism.Carbohydrate_metabolism.Propanoate_metabolism,PCCA
Propanoate_metabolism,Metabolism.Carbohydrate_metabolism.Propanoate_metabolism,PCCB
Amidoxime_reducing_complex,Metabolism.Detoxification.Amidoxime_reducing_complex,CYB5B
Amidoxime_reducing_complex,Metabolism.Detoxification.Amidoxime_reducing_complex,CYB5R3
Amidoxime_reducing_complex,Metabolism.Detoxification.Amidoxime_reducing_complex,MTARC1
Amidoxime_reducing_complex,Metabolism.Detoxification.Amidoxime_reducing_complex,MTARC2
SLC25A_family,Small_molecule_transport.SLC25A_family,MTCH1
SLC25A_family,Small_molecule_transport.SLC25A_family,MTCH2
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A1
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A10
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A11
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A12
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A13
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A14
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A15
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A16
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A18
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A19
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A20
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A21
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A22
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A23
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A24
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A25
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A26
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A27
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A28
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A29
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A3
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A30
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A31
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A32
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A33
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A34
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A35
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A36
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A37
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A38
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A39
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A4
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A40
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A41
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A42
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A43
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A44
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A45
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A46
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A47
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A48
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A5
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A51
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A52
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A53
SLC25A_family,Small_molecule_transport.SLC25A_family,SLC25A6
SLC25A_family,Small_molecule_transport.SLC25A_family,UCP1
SLC25A_family,Small_molecule_transport.SLC25A_family,UCP2
SLC25A_family,Small_molecule_transport.SLC25A_family,UCP3
Lipoate_insertion,Metabolism.Lipid_metabolism.Lipoate_insertion,GCSH
Lipoate_insertion,Metabolism.Lipid_metabolism.Lipoate_insertion,LIAS
Lipoate_insertion,Metabolism.Lipid_metabolism.Lipoate_insertion,LIPT1
Lipoate_insertion,Metabolism.Lipid_metabolism.Lipoate_insertion,LIPT2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,AIFM2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,ALDH3A2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,ALDH7A1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,ALDH9A1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,CAT
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,GLRX2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,GPX1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,GPX4
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,GSR
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,HAGH
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,MGST1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,MSRA
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,MSRB2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,MSRB3
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,NIT1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,OXR1
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,PRDX2
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,PRDX3
ROS_and_glutathione_metabolism,Metabolism.Detoxification.ROS_and_glutathione_metabolism,PRDX4
